path,lines,expected_lines,status
results/task_a/vllm/raw_outputs/Qwen3-0.6B_non_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-0.6B_non_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-0.6B_non_thinking_test_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-0.6B_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-0.6B_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-0.6B_thinking_test_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_non_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_non_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_non_thinking_test_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_raw_outputs.jsonl,15000,15000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3-1.7B_thinking_test_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-0.8B_non_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-0.8B_non_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-0.8B_non_thinking_test_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-0.8B_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-0.8B_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-0.8B_thinking_test_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-2B_non_thinking_swap_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-2B_non_thinking_test_few_shot_8_raw_outputs.jsonl,3000,3000,ok
results/task_a/vllm/raw_outputs/Qwen3.5-2B_non_thinking_test_raw_outputs.jsonl,3000,3000,ok
